,Unnamed: 0,Unnamed: 1,Unnamed: 2,price,CO2_emissions,url,is_electric,autonomous_range
36,ALFA-ROMEO,Stelvio,2.9 V6 510 AT8 Q4 Quadriofoglio,98500.0,267,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
37,ALFA-ROMEO,Stelvio,2.2 160 AT8 Super,47500.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
38,ALFA-ROMEO,Stelvio,2.2 160 AT8 Sprint,52100.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
39,ALFA-ROMEO,Stelvio,2.2 160 AT8 Ti,55400.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
40,ALFA-ROMEO,Stelvio,2.2 190 AT8 Super,49900.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
41,ALFA-ROMEO,Stelvio,2.2 190 AT8 Sprint,54500.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
42,ALFA-ROMEO,Stelvio,2.2 190 AT8 Ti,57800.0,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
43,ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Super,52900.0,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
44,ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Sprint,57500.0,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
45,ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Ti,60800.0,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
46,ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Ti,61800.0,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
47,ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Veloce,62300.0,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
48,ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Veloce Ti,67800.0,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
49,ALFA-ROMEO,Tonale,1.5T Hybrid 130 TCT7 Edizione Speciale,39000.0,136,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
