,,,,price,CO2_emissions,is_electric
BMW,Série-2-Active-Tourer,2019,218d Lounge BVA8,,134,False
BMW,Série-2-Active-Tourer,2019,218d Sport BVA8,,134,False
BMW,Série-2-Active-Tourer,2019,218d Luxury BVA8,,134,False
BMW,Série-2-Active-Tourer,2019,218d M Sport BVA8,,134,False
BMW,Série-2-Active-Tourer,2019,220i Première DKG7,,123,False
BMW,Série-2-Active-Tourer,2019,220i Lounge DKG7,,123,False
BMW,Série-2-Active-Tourer,2019,220i Sport DKG7,,123,False
BMW,Série-2-Active-Tourer,2019,220i Luxury DKG7,,123,False
BMW,Série-2-Active-Tourer,2019,220i M Sport DKG7,,123,False
BMW,Série-2-Active-Tourer,2019,225i xDrive Première BVA8,,139,False
BMW,Série-2-Active-Tourer,2019,225i xDrive Lounge BVA8,,139,False
BMW,Série-2-Active-Tourer,2019,225i xDrive Sport BVA8,,139,False
BMW,Série-2-Active-Tourer,2019,225i xDrive Luxury BVA8,,139,False
BMW,Série-2-Active-Tourer,2019,225i xDrive M Sport BVA8,,147,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Première,,133,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Lounge,,133,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Sport,,133,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Luxury,,133,False
BMW,Série-2-Active-Tourer,2019,218d xDrive M Sport,,133,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Première BVA8,,124,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Lounge BVA8,,124,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Sport BVA8,,124,False
BMW,Série-2-Active-Tourer,2019,218d xDrive Luxury BVA8,,124,False
BMW,Série-2-Active-Tourer,2019,218d xDrive M Sport BVA8,,124,False
BMW,Série-2-Active-Tourer,2019,220d Première BVA8,,112,False
BMW,Série-2-Active-Tourer,2019,220d Lounge BVA8,,112,False
BMW,Série-2-Active-Tourer,2019,220d Sport BVA8,,112,False
BMW,Série-2-Active-Tourer,2019,220d Luxury BVA8,,112,False
BMW,Série-2-Active-Tourer,2019,220d M Sport BVA8,,112,False
BMW,Série-2-Active-Tourer,2019,220d xDrive Première BVA8,,120,False
BMW,Série-2-Active-Tourer,2019,220d xDrive Lounge BVA8,,120,False
BMW,Série-2-Active-Tourer,2019,220d xDrive Sport BVA8,,120,False
BMW,Série-2-Active-Tourer,2019,220d xDrive Luxury BVA8,,120,False
BMW,Série-2-Active-Tourer,2019,220d xDrive M Sport BVA8,,120,False
BMW,Série-2-Cabriolet,2021,218i Lounge,,170,False
BMW,Série-2-Cabriolet,2021,218i Sport,,170,False
BMW,Série-2-Cabriolet,2021,218i M Sport,,170,False
BMW,Série-2-Cabriolet,2021,218i Lounge BVA,,175,False
BMW,Série-2-Cabriolet,2021,218i Sport BVA,,175,False
BMW,Série-2-Cabriolet,2021,218i M Sport BVA,,175,False
BMW,Série-2-Cabriolet,2021,220i Lounge BVA,,174,False
BMW,Série-2-Cabriolet,2021,220i Sport BVA,,174,False
BMW,Série-2-Cabriolet,2021,220i M Sport BVA,,174,False
BMW,Série-2-Cabriolet,2021,M 240i BVA,,197,False
BMW,Série-2-Cabriolet,2021,M 240xi BVA,,218,False
BMW,Série-2-Cabriolet,2021,218i Luxury,,148,False
BMW,Série-2-Cabriolet,2021,218i Luxury BVA,,143,False
BMW,Série-2-Cabriolet,2021,220i Luxury BVA,,142,False
BMW,Série-2-Cabriolet,2021,230i Lounge BVA,,141,False
BMW,Série-2-Cabriolet,2021,230i Sport BVA,,144,False
BMW,Série-2-Cabriolet,2021,230i Luxury BVA,,144,False
BMW,Série-2-Cabriolet,2021,230i M Sport BVA,,144,False
BMW,Série-2-Cabriolet,2021,M 240i,,189,False
BMW,Série-2-Cabriolet,2021,218d Lounge,,131,False
BMW,Série-2-Cabriolet,2021,218d Sport,,134,False
BMW,Série-2-Cabriolet,2021,218d Luxury,,134,False
BMW,Série-2-Cabriolet,2021,218d M Sport,,134,False
BMW,Série-2-Cabriolet,2021,218d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2021,218d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2021,218d Luxury BVA,,123,False
BMW,Série-2-Cabriolet,2021,218d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2021,220d Lounge,,152,False
BMW,Série-2-Cabriolet,2021,220d Sport,,152,False
BMW,Série-2-Cabriolet,2021,220d Luxury,,136,False
BMW,Série-2-Cabriolet,2021,220d M Sport,,152,False
BMW,Série-2-Cabriolet,2021,220d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2021,220d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2021,220d Luxury BVA,,126,False
BMW,Série-2-Cabriolet,2021,220d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2021,225d Lounge BVA,,128,False
BMW,Série-2-Cabriolet,2021,225d Sport BVA,,130,False
BMW,Série-2-Cabriolet,2021,225d Luxury BVA,,130,False
BMW,Série-2-Cabriolet,2021,225d M Sport BVA,,130,False
BMW,Série-2-Cabriolet,2020,218i Lounge,,170,False
BMW,Série-2-Cabriolet,2020,218i Sport,,170,False
BMW,Série-2-Cabriolet,2020,218i M Sport,,170,False
BMW,Série-2-Cabriolet,2020,218i Lounge BVA,,175,False
BMW,Série-2-Cabriolet,2020,218i Sport BVA,,175,False
BMW,Série-2-Cabriolet,2020,218i M Sport BVA,,175,False
BMW,Série-2-Cabriolet,2020,220i Lounge BVA,,174,False
BMW,Série-2-Cabriolet,2020,220i Sport BVA,,174,False
BMW,Série-2-Cabriolet,2020,220i M Sport BVA,,174,False
BMW,Série-2-Cabriolet,2020,M 240i BVA,,197,False
BMW,Série-2-Cabriolet,2020,M 240xi BVA,,218,False
BMW,Série-2-Cabriolet,2020,218i Luxury,,148,False
BMW,Série-2-Cabriolet,2020,218i Luxury BVA,,143,False
BMW,Série-2-Cabriolet,2020,220i Luxury BVA,,142,False
BMW,Série-2-Cabriolet,2020,230i Lounge BVA,,141,False
BMW,Série-2-Cabriolet,2020,230i Sport BVA,,144,False
BMW,Série-2-Cabriolet,2020,230i Luxury BVA,,144,False
BMW,Série-2-Cabriolet,2020,230i M Sport BVA,,144,False
BMW,Série-2-Cabriolet,2020,M 240i,,189,False
BMW,Série-2-Cabriolet,2020,218d Lounge,,131,False
BMW,Série-2-Cabriolet,2020,218d Sport,,134,False
BMW,Série-2-Cabriolet,2020,218d Luxury,,134,False
BMW,Série-2-Cabriolet,2020,218d M Sport,,134,False
BMW,Série-2-Cabriolet,2020,218d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2020,218d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2020,218d Luxury BVA,,123,False
BMW,Série-2-Cabriolet,2020,218d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2020,220d Lounge,,152,False
BMW,Série-2-Cabriolet,2020,220d Sport,,152,False
BMW,Série-2-Cabriolet,2020,220d Luxury,,136,False
BMW,Série-2-Cabriolet,2020,220d M Sport,,152,False
BMW,Série-2-Cabriolet,2020,220d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2020,220d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2020,220d Luxury BVA,,126,False
BMW,Série-2-Cabriolet,2020,220d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2020,225d Lounge BVA,,128,False
BMW,Série-2-Cabriolet,2020,225d Sport BVA,,130,False
BMW,Série-2-Cabriolet,2020,225d Luxury BVA,,130,False
BMW,Série-2-Cabriolet,2020,225d M Sport BVA,,130,False
BMW,Série-2-Cabriolet,2019,218i Lounge,,170,False
BMW,Série-2-Cabriolet,2019,218i Sport,,170,False
BMW,Série-2-Cabriolet,2019,218i M Sport,,170,False
BMW,Série-2-Cabriolet,2019,218i Lounge BVA,,175,False
BMW,Série-2-Cabriolet,2019,218i Sport BVA,,175,False
BMW,Série-2-Cabriolet,2019,218i M Sport BVA,,175,False
BMW,Série-2-Cabriolet,2019,220i Lounge BVA,,174,False
BMW,Série-2-Cabriolet,2019,220i Sport BVA,,174,False
BMW,Série-2-Cabriolet,2019,220i M Sport BVA,,174,False
BMW,Série-2-Cabriolet,2019,M 240i BVA,,197,False
BMW,Série-2-Cabriolet,2019,M 240xi BVA,,218,False
BMW,Série-2-Cabriolet,2019,218i Luxury,,148,False
BMW,Série-2-Cabriolet,2019,218i Luxury BVA,,143,False
BMW,Série-2-Cabriolet,2019,220i Luxury BVA,,142,False
BMW,Série-2-Cabriolet,2019,230i Lounge BVA,,141,False
BMW,Série-2-Cabriolet,2019,230i Sport BVA,,144,False
BMW,Série-2-Cabriolet,2019,230i Luxury BVA,,144,False
BMW,Série-2-Cabriolet,2019,230i M Sport BVA,,144,False
BMW,Série-2-Cabriolet,2019,M 240i,,189,False
BMW,Série-2-Cabriolet,2019,218d Lounge,,131,False
BMW,Série-2-Cabriolet,2019,218d Sport,,134,False
BMW,Série-2-Cabriolet,2019,218d Luxury,,134,False
BMW,Série-2-Cabriolet,2019,218d M Sport,,134,False
BMW,Série-2-Cabriolet,2019,218d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2019,218d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2019,218d Luxury BVA,,123,False
BMW,Série-2-Cabriolet,2019,218d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2019,220d Lounge,,152,False
BMW,Série-2-Cabriolet,2019,220d Sport,,152,False
BMW,Série-2-Cabriolet,2019,220d Luxury,,136,False
BMW,Série-2-Cabriolet,2019,220d M Sport,,152,False
BMW,Série-2-Cabriolet,2019,220d Lounge BVA,,155,False
BMW,Série-2-Cabriolet,2019,220d Sport BVA,,155,False
BMW,Série-2-Cabriolet,2019,220d Luxury BVA,,126,False
BMW,Série-2-Cabriolet,2019,220d M Sport BVA,,155,False
BMW,Série-2-Cabriolet,2019,225d Lounge BVA,,128,False
BMW,Série-2-Cabriolet,2019,225d Sport BVA,,130,False
BMW,Série-2-Cabriolet,2019,225d Luxury BVA,,130,False
BMW,Série-2-Cabriolet,2019,225d M Sport BVA,,130,False
BMW,Série-2-Coupé,2021,218i Lounge,,163,False
BMW,Série-2-Coupé,2021,218i Sport,,163,False
BMW,Série-2-Coupé,2021,218i M Sport,,163,False
BMW,Série-2-Coupé,2021,218i Lounge BVA,,164,False
BMW,Série-2-Coupé,2021,218i Sport BVA,,164,False
BMW,Série-2-Coupé,2021,218i M Sport BVA,,164,False
BMW,Série-2-Coupé,2021,220i Lounge BVA,,164,False
BMW,Série-2-Coupé,2021,220i Sport BVA,,164,False
BMW,Série-2-Coupé,2021,220i M Sport BVA,,164,False
BMW,Série-2-Coupé,2021,M 240i BVA,,197,False
BMW,Série-2-Coupé,2021,218i Luxury,,140,False
BMW,Série-2-Coupé,2021,218i Luxury BVA,,133,False
BMW,Série-2-Coupé,2021,220i Luxury BVA,,135,False
BMW,Série-2-Coupé,2021,230i Lounge BVA,,132,False
BMW,Série-2-Coupé,2021,230i Sport BVA,,135,False
BMW,Série-2-Coupé,2021,230i Luxury BVA,,135,False
BMW,Série-2-Coupé,2021,230i M Sport BVA,,135,False
BMW,Série-2-Coupé,2021,M 240i,,179,False
BMW,Série-2-Coupé,2021,M 240xi BVA,,211,False
BMW,Série-2-Coupé,2021,M2,,199,False
BMW,Série-2-Coupé,2021,M2 DKG,,185,False
BMW,Série-2-Coupé,2021,218d Lounge,,122,False
BMW,Série-2-Coupé,2021,218d Sport,,124,False
BMW,Série-2-Coupé,2021,218d Luxury,,124,False
BMW,Série-2-Coupé,2021,218d M Sport,,124,False
BMW,Série-2-Coupé,2021,218d Lounge BVA,,144,False
BMW,Série-2-Coupé,2021,218d Sport BVA,,144,False
BMW,Série-2-Coupé,2021,218d Luxury BVA,,119,False
BMW,Série-2-Coupé,2021,218d M Sport BVA,,144,False
BMW,Série-2-Coupé,2021,220d Lounge,,146,False
BMW,Série-2-Coupé,2021,220d Sport,,146,False
BMW,Série-2-Coupé,2021,220d Luxury,,127,False
BMW,Série-2-Coupé,2021,220d M Sport,,146,False
BMW,Série-2-Coupé,2021,220d Lounge BVA,,145,False
BMW,Série-2-Coupé,2021,220d Sport BVA,,145,False
BMW,Série-2-Coupé,2021,220d Luxury BVA,,121,False
BMW,Série-2-Coupé,2021,220d M Sport BVA,,145,False
BMW,Série-2-Coupé,2021,220xd Lounge BVA,,132,False
BMW,Série-2-Coupé,2021,220xd Sport BVA,,135,False
BMW,Série-2-Coupé,2021,220xd Luxury BVA,,135,False
BMW,Série-2-Coupé,2021,220xd M Sport BVA,,135,False
BMW,Série-2-Coupé,2021,225d Lounge BVA,,121,False
BMW,Série-2-Coupé,2021,225d Sport BVA,,124,False
BMW,Série-2-Coupé,2021,225d Luxury BVA,,124,False
BMW,Série-2-Coupé,2021,225d M Sport BVA,,124,False
BMW,Série-2-Coupé,2021,M2 Compétition,,224,False
BMW,Série-2-Coupé,2021,M2 Compétition DKG7,,218,False
BMW,Série-2-Coupé,2021,M2 CS 450,,233,False
BMW,Série-2-Coupé,2021,M2 CS 450 DKG7,,214,False
BMW,Série-2-Coupé,2020,218i Lounge,,163,False
BMW,Série-2-Coupé,2020,218i Sport,,163,False
BMW,Série-2-Coupé,2020,218i M Sport,,163,False
BMW,Série-2-Coupé,2020,218i Lounge BVA,,164,False
BMW,Série-2-Coupé,2020,218i Sport BVA,,164,False
BMW,Série-2-Coupé,2020,218i M Sport BVA,,164,False
BMW,Série-2-Coupé,2020,220i Lounge BVA,,164,False
BMW,Série-2-Coupé,2020,220i Sport BVA,,164,False
BMW,Série-2-Coupé,2020,220i M Sport BVA,,164,False
BMW,Série-2-Coupé,2020,M 240i BVA,,197,False
BMW,Série-2-Coupé,2020,218i Luxury,,140,False
BMW,Série-2-Coupé,2020,218i Luxury BVA,,133,False
BMW,Série-2-Coupé,2020,220i Luxury BVA,,135,False
BMW,Série-2-Coupé,2020,230i Lounge BVA,,132,False
BMW,Série-2-Coupé,2020,230i Sport BVA,,135,False
BMW,Série-2-Coupé,2020,230i Luxury BVA,,135,False
BMW,Série-2-Coupé,2020,230i M Sport BVA,,135,False
BMW,Série-2-Coupé,2020,M 240i,,179,False
BMW,Série-2-Coupé,2020,M 240xi BVA,,211,False
BMW,Série-2-Coupé,2020,M2,,199,False
BMW,Série-2-Coupé,2020,M2 DKG,,185,False
BMW,Série-2-Coupé,2020,218d Lounge,,122,False
BMW,Série-2-Coupé,2020,218d Sport,,124,False
BMW,Série-2-Coupé,2020,218d Luxury,,124,False
BMW,Série-2-Coupé,2020,218d M Sport,,124,False
BMW,Série-2-Coupé,2020,218d Lounge BVA,,144,False
BMW,Série-2-Coupé,2020,218d Sport BVA,,144,False
BMW,Série-2-Coupé,2020,218d Luxury BVA,,119,False
BMW,Série-2-Coupé,2020,218d M Sport BVA,,144,False
BMW,Série-2-Coupé,2020,220d Lounge,,146,False
BMW,Série-2-Coupé,2020,220d Sport,,146,False
BMW,Série-2-Coupé,2020,220d Luxury,,127,False
BMW,Série-2-Coupé,2020,220d M Sport,,146,False
BMW,Série-2-Coupé,2020,220d Lounge BVA,,145,False
BMW,Série-2-Coupé,2020,220d Sport BVA,,145,False
BMW,Série-2-Coupé,2020,220d Luxury BVA,,121,False
BMW,Série-2-Coupé,2020,220d M Sport BVA,,145,False
BMW,Série-2-Coupé,2020,220xd Lounge BVA,,132,False
BMW,Série-2-Coupé,2020,220xd Sport BVA,,135,False
BMW,Série-2-Coupé,2020,220xd Luxury BVA,,135,False
BMW,Série-2-Coupé,2020,220xd M Sport BVA,,135,False
BMW,Série-2-Coupé,2020,225d Lounge BVA,,121,False
BMW,Série-2-Coupé,2020,225d Sport BVA,,124,False
BMW,Série-2-Coupé,2020,225d Luxury BVA,,124,False
BMW,Série-2-Coupé,2020,225d M Sport BVA,,124,False
BMW,Série-2-Coupé,2020,M2 Compétition,,224,False
BMW,Série-2-Coupé,2020,M2 Compétition DKG7,,218,False
BMW,Série-2-Coupé,2020,M2 CS 450,,233,False
BMW,Série-2-Coupé,2020,M2 CS 450 DKG7,,214,False
BMW,Série-2-Coupé,2019,218i Lounge,,163,False
BMW,Série-2-Coupé,2019,218i Sport,,163,False
BMW,Série-2-Coupé,2019,218i M Sport,,163,False
BMW,Série-2-Coupé,2019,218i Lounge BVA,,164,False
BMW,Série-2-Coupé,2019,218i Sport BVA,,164,False
BMW,Série-2-Coupé,2019,218i M Sport BVA,,164,False
BMW,Série-2-Coupé,2019,220i Lounge BVA,,164,False
BMW,Série-2-Coupé,2019,220i Sport BVA,,164,False
BMW,Série-2-Coupé,2019,220i M Sport BVA,,164,False
BMW,Série-2-Coupé,2019,M 240i BVA,,197,False
BMW,Série-2-Coupé,2019,218i Luxury,,140,False
BMW,Série-2-Coupé,2019,218i Luxury BVA,,133,False
BMW,Série-2-Coupé,2019,220i Luxury BVA,,135,False
BMW,Série-2-Coupé,2019,230i Lounge BVA,,132,False
BMW,Série-2-Coupé,2019,230i Sport BVA,,135,False
BMW,Série-2-Coupé,2019,230i Luxury BVA,,135,False
BMW,Série-2-Coupé,2019,230i M Sport BVA,,135,False
BMW,Série-2-Coupé,2019,M 240i,,179,False
BMW,Série-2-Coupé,2019,M 240xi BVA,,211,False
BMW,Série-2-Coupé,2019,M2,,199,False
BMW,Série-2-Coupé,2019,M2 DKG,,185,False
BMW,Série-2-Coupé,2019,218d Lounge,,122,False
BMW,Série-2-Coupé,2019,218d Sport,,124,False
BMW,Série-2-Coupé,2019,218d Luxury,,124,False
BMW,Série-2-Coupé,2019,218d M Sport,,124,False
BMW,Série-2-Coupé,2019,218d Lounge BVA,,144,False
BMW,Série-2-Coupé,2019,218d Sport BVA,,144,False
BMW,Série-2-Coupé,2019,218d Luxury BVA,,119,False
BMW,Série-2-Coupé,2019,218d M Sport BVA,,144,False
BMW,Série-2-Coupé,2019,220d Lounge,,146,False
BMW,Série-2-Coupé,2019,220d Sport,,146,False
BMW,Série-2-Coupé,2019,220d Luxury,,127,False
BMW,Série-2-Coupé,2019,220d M Sport,,146,False
BMW,Série-2-Coupé,2019,220d Lounge BVA,,145,False
BMW,Série-2-Coupé,2019,220d Sport BVA,,145,False
BMW,Série-2-Coupé,2019,220d Luxury BVA,,121,False
BMW,Série-2-Coupé,2019,220d M Sport BVA,,145,False
BMW,Série-2-Coupé,2019,220xd Lounge BVA,,132,False
BMW,Série-2-Coupé,2019,220xd Sport BVA,,135,False
BMW,Série-2-Coupé,2019,220xd Luxury BVA,,135,False
BMW,Série-2-Coupé,2019,220xd M Sport BVA,,135,False
BMW,Série-2-Coupé,2019,225d Lounge BVA,,121,False
BMW,Série-2-Coupé,2019,225d Sport BVA,,124,False
BMW,Série-2-Coupé,2019,225d Luxury BVA,,124,False
BMW,Série-2-Coupé,2019,225d M Sport BVA,,124,False
BMW,Série-2-Coupé,2019,M2 Compétition,,224,False
BMW,Série-2-Coupé,2019,M2 Compétition DKG7,,218,False
BMW,Série-2-Coupé,2019,M2 CS 450,,233,False
BMW,Série-2-Coupé,2019,M2 CS 450 DKG7,,214,False
BMW,Série-2-Gran-Coupé,2021,218i 136 Gran Coupé,,129,False
BMW,Série-2-Gran-Coupé,2021,218i 136 M Sport,37500,129,False
BMW,Série-2-Gran-Coupé,2021,218i 136 Gran Coupé DKG7,,128,False
BMW,Série-2-Gran-Coupé,2021,218i 136 M Sport DKG7,39800,128,False
BMW,Série-2-Gran-Coupé,2021,220i 178 Gran Coupé DKG7,,136,False
BMW,Série-2-Gran-Coupé,2021,220i 178 M Sport DKG7,,136,False
BMW,Série-2-Gran-Coupé,2021,M235i xDrive 306 BVA8,,172,False
BMW,Série-2-Gran-Coupé,2021,216d 116 Gran Coupé DKG7,33850,120,False
BMW,Série-2-Gran-Coupé,2021,216d 116 M Sport DKG7,40200,120,False
BMW,Série-2-Gran-Coupé,2021,218d 150 Gran Coupé,,122,False
BMW,Série-2-Gran-Coupé,2021,218d 150 M Sport,,122,False
BMW,Série-2-Gran-Coupé,2021,218d 150 Gran Coupé BVA8,,128,False
BMW,Série-2-Gran-Coupé,2021,218d 150 M Sport BVA8,,128,False
BMW,Série-2-Gran-Coupé,2021,220d 190 Gran Coupé BVA8,,128,False
BMW,Série-2-Gran-Coupé,2021,220d 190 M Sport BVA8,,128,False
BMW,Série-2-Gran-Coupé,2021,220d 190 xDrive Gran Coupé BVA8,,137,False
BMW,Série-2-Gran-Coupé,2021,220d 190 xDrive M Sport BVA8,,137,False
BMW,Série-2-Gran-Coupé,2021,218i 140 Luxury,,135,False
BMW,Série-2-Gran-Coupé,2021,218i 140 Luxury DKG7,,140,False
BMW,Série-2-Gran-Coupé,2021,216d 116 Luxury DKG7,,120,False
BMW,Série-2-Gran-Coupé,2021,220d 190 Luxury BVA8,,128,False
BMW,Série-2-Gran-Coupé,2021,218i 140 Gran Coupé,,135,False
BMW,Série-2-Gran-Coupé,2021,218i 140 M Sport,,135,False
BMW,Série-2-Gran-Coupé,2021,218i 140 Gran Coupé DKG7,,140,False
BMW,Série-2-Gran-Coupé,2021,218i 140 M Sport DKG7,,140,False
BMW,Série-2-Gran-Coupé,2020,218i 136 Gran Coupé,,129,False
BMW,Série-2-Gran-Coupé,2020,218i 136 M Sport,37500,129,False
BMW,Série-2-Gran-Coupé,2020,218i 136 Gran Coupé DKG7,,128,False
BMW,Série-2-Gran-Coupé,2020,218i 136 M Sport DKG7,39800,128,False
BMW,Série-2-Gran-Coupé,2020,220i 178 Gran Coupé DKG7,,136,False
BMW,Série-2-Gran-Coupé,2020,220i 178 M Sport DKG7,,136,False
BMW,Série-2-Gran-Coupé,2020,M235i xDrive 306 BVA8,,172,False
BMW,Série-2-Gran-Coupé,2020,216d 116 Gran Coupé DKG7,33850,120,False
BMW,Série-2-Gran-Coupé,2020,216d 116 M Sport DKG7,40200,120,False
BMW,Série-2-Gran-Coupé,2020,218d 150 Gran Coupé,,122,False
BMW,Série-2-Gran-Coupé,2020,218d 150 M Sport,,122,False
BMW,Série-2-Gran-Coupé,2020,218d 150 Gran Coupé BVA8,,128,False
BMW,Série-2-Gran-Coupé,2020,218d 150 M Sport BVA8,,128,False
BMW,Série-2-Gran-Coupé,2020,220d 190 Gran Coupé BVA8,,128,False
BMW,Série-2-Gran-Coupé,2020,220d 190 M Sport BVA8,,128,False
BMW,Série-2-Gran-Coupé,2020,220d 190 xDrive Gran Coupé BVA8,,137,False
BMW,Série-2-Gran-Coupé,2020,220d 190 xDrive M Sport BVA8,,137,False
BMW,Série-2-Gran-Coupé,2020,218i 140 Luxury,,135,False
BMW,Série-2-Gran-Coupé,2020,218i 140 Luxury DKG7,,140,False
BMW,Série-2-Gran-Coupé,2020,216d 116 Luxury DKG7,,120,False
BMW,Série-2-Gran-Coupé,2020,220d 190 Luxury BVA8,,128,False
BMW,Série-2-Gran-Coupé,2020,218i 140 Gran Coupé,,135,False
BMW,Série-2-Gran-Coupé,2020,218i 140 M Sport,,135,False
BMW,Série-2-Gran-Coupé,2020,218i 140 Gran Coupé DKG7,,140,False
BMW,Série-2-Gran-Coupé,2020,218i 140 M Sport DKG7,,140,False
BMW,Série-2-Gran-Tourer,2021,216i Premiere,,147,False
BMW,Série-2-Gran-Tourer,2021,216i Lounge,,147,False
BMW,Série-2-Gran-Tourer,2021,216i Sport,,147,False
BMW,Série-2-Gran-Tourer,2021,216i Luxury,,147,False
BMW,Série-2-Gran-Tourer,2021,216i M Sport,,147,False
BMW,Série-2-Gran-Tourer,2021,218i Première,,147,False
BMW,Série-2-Gran-Tourer,2021,218i Lounge,,147,False
BMW,Série-2-Gran-Tourer,2021,218i Sport,,147,False
BMW,Série-2-Gran-Tourer,2021,218i Luxury,,147,False
BMW,Série-2-Gran-Tourer,2021,218i M Sport,,147,False
BMW,Série-2-Gran-Tourer,2021,218i Première DKG7,,151,False
BMW,Série-2-Gran-Tourer,2021,218i Lounge DKG7,,151,False
BMW,Série-2-Gran-Tourer,2021,218i Sport DKG7,,151,False
BMW,Série-2-Gran-Tourer,2021,218i Luxury DKG7,,151,False
BMW,Série-2-Gran-Tourer,2021,218i M Sport DKG7,,151,False
BMW,Série-2-Gran-Tourer,2021,216d Premiere,,129,False
BMW,Série-2-Gran-Tourer,2021,216d Lounge,,129,False
BMW,Série-2-Gran-Tourer,2021,216d Sport,,129,False
BMW,Série-2-Gran-Tourer,2021,216d Luxury,,129,False
BMW,Série-2-Gran-Tourer,2021,216d M Sport,,129,False
BMW,Série-2-Gran-Tourer,2021,216d Premiere DKG7,,117,False
BMW,Série-2-Gran-Tourer,2021,216d Lounge DKG7,,117,False
BMW,Série-2-Gran-Tourer,2021,216d Sport DKG7,,117,False
BMW,Série-2-Gran-Tourer,2021,216d Luxury DKG7,,117,False
BMW,Série-2-Gran-Tourer,2021,216d M Sport DKG7,,117,False
BMW,Série-2-Gran-Tourer,2021,218d Première,,134,False
BMW,Série-2-Gran-Tourer,2021,218d Lounge,,134,False
BMW,Série-2-Gran-Tourer,2021,218d Sport,,134,False
BMW,Série-2-Gran-Tourer,2021,218d Luxury,,134,False
BMW,Série-2-Gran-Tourer,2021,218d M Sport,,134,False
BMW,Série-2-Gran-Tourer,2021,218d Première BVA8,,138,False
BMW,Série-2-Gran-Tourer,2021,218d Lounge BVA8,,138,False
BMW,Série-2-Gran-Tourer,2021,218d Sport BVA8,,138,False
BMW,Série-2-Gran-Tourer,2021,218d Luxury BVA8,,138,False
BMW,Série-2-Gran-Tourer,2021,218d M Sport BVA8,,138,False
BMW,Série-2-Gran-Tourer,2021,220i Première DKG7,,123,False
BMW,Série-2-Gran-Tourer,2021,220i Lounge DKG7,,123,False
BMW,Série-2-Gran-Tourer,2021,220i Sport DKG7,,123,False
BMW,Série-2-Gran-Tourer,2021,220i Luxury DKG7,,123,False
BMW,Série-2-Gran-Tourer,2021,220i M Sport DKG7,,123,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Première,,137,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Lounge,,137,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Sport,,137,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Luxury,,137,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive M Sport,,137,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Première BVA8,,127,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Lounge BVA8,,127,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Sport BVA8,,127,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive Luxury BVA8,,127,False
BMW,Série-2-Gran-Tourer,2021,218d xDrive M Sport BVA8,,127,False
BMW,Série-2-Gran-Tourer,2021,220d Première BVA8,,112,False
BMW,Série-2-Gran-Tourer,2021,220d Lounge BVA8,,112,False
BMW,Série-2-Gran-Tourer,2021,220d Sport BVA8,,112,False
BMW,Série-2-Gran-Tourer,2021,220d Luxury BVA8,,112,False
BMW,Série-2-Gran-Tourer,2021,220d M Sport BVA8,,112,False
BMW,Série-2-Gran-Tourer,2021,220d xDrive Première BVA8,,120,False
BMW,Série-2-Gran-Tourer,2021,220d xDrive Lounge BVA8,,120,False
BMW,Série-2-Gran-Tourer,2021,220d xDrive Sport BVA8,,120,False
BMW,Série-2-Gran-Tourer,2021,220d xDrive Luxury BVA8,,120,False
BMW,Série-2-Gran-Tourer,2021,220d xDrive M Sport BVA8,,120,False
BMW,Série-2-Gran-Tourer,2020,216i Premiere,,147,False
BMW,Série-2-Gran-Tourer,2020,216i Lounge,,147,False
BMW,Série-2-Gran-Tourer,2020,216i Sport,,147,False
BMW,Série-2-Gran-Tourer,2020,216i Luxury,,147,False
BMW,Série-2-Gran-Tourer,2020,216i M Sport,,147,False
