,,,,price,CO2_emissions,is_electric
ABARTH,595C,2020,1.4 T-Jet 165 Pista,,167,False
ABARTH,595C,2020,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,595C,2019,1.4 T-Jet 145,,139,False
ABARTH,595C,2019,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595C,2019,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595C,2019,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595C,2019,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595C,2019,1.4 T-Jet 180 EsseEsse,31490,171,False
ABARTH,595C,2019,1.4 T-Jet 180 EsseEsse BVR,32990,172,False
ABARTH,595C,2019,1.4 T-Jet 165 Scorpionero,27390,167,False
ABARTH,595C,2019,1.4 T-Jet 165 Monster Energy Yamaha,28790,167,False
ABARTH,595C,2019,1.4 T-Jet 165 Scorpionero BVR,28890,166,False
ABARTH,595C,2019,1.4 T-Jet 165 Monster Energy Yamaha BVR,30290,166,False
ABARTH,595C,2019,1.4 T-Jet 145 BVR,,134,False
ABARTH,595C,2019,1.4 T-Jet 160 Pista,,139,False
ABARTH,595C,2019,1.4 T-Jet 160 Pista BVR,,134,False
ABARTH,595C,2019,1.4 T-Jet 165 Pista,,167,False
ABARTH,595C,2019,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,695,2021,1.4 T-Jet 180 70° Anniversario,,155,False
ABARTH,695,2021,1.4 T-Jet 180 70° Anniversario BVA5,,153,False
ABARTH,695,2021,1.4 T-Jet 165 XSR Yamaha,,139,False
ABARTH,695,2021,1.4 T-Jet 165 XSR Yamaha BVA5,,134,False
ABARTH,695,2021,1.4 T-Jet 180 Rivale,,155,False
ABARTH,695,2021,1.4 T-Jet 180 Rivale BVA5,,153,False
ABARTH,695,2020,1.4 T-Jet 180 70° Anniversario,,155,False
ABARTH,695,2020,1.4 T-Jet 180 70° Anniversario BVA5,,153,False
ABARTH,695,2020,1.4 T-Jet 165 XSR Yamaha,,139,False
ABARTH,695,2020,1.4 T-Jet 165 XSR Yamaha BVA5,,134,False
ABARTH,695,2020,1.4 T-Jet 180 Rivale,,155,False
