,,,price,CO2_emissions,url,is_electric,autonomous_range
ALFA-ROMEO,Stelvio,2.2 160 AT8 Sprint,52100,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 160 AT8 Ti,55400,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Super,49900,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Sprint,54500,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Ti,57800,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Super,52900,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Sprint,57500,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 190 AT8 Q4 Ti,60800,151,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Ti,61800,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Veloce,62300,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Stelvio,2.2 210 AT8 Q4 Veloce Ti,67800,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Stelvio,False,
ALFA-ROMEO,Tonale,1.5T Hybrid 130 TCT7 Edizione Speciale,39000,136,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.5T Hybrid 130 TCT7 Super,35400,135,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.5T Hybrid 130 TCT7 Sprint,37900,135,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
